l30_4,county,state,Total00,hud_units00,units00,pop2011_13,state_flag,Units_No_Assist_00,Gap_00,Gap_00_No_Assist,per100,per100_No_Assist,state_total00,state_units00,state_hud_units00,State_Units_No_Assist_00,State_Gap_00,State_Gap_00_No_Assist,State_per100,State_per100_No_Assist,MinEli,MaxEli,min_max_same
15000,01089,01,7743.957732,1752,3222.591307,343112,0,1470.591307,4521.366425,6273.366425,41.61426778,18.99017735,,,,,,,,,,,
11150,01091,01,718.069664,194,440.2411067,20411,0,246.2411067,277.8285573,471.8285573,61.30896886,34.29209157,,,,,,,,,,,
11150,01093,01,887.7444919,288,644.2443275,30538,0,356.2443275,243.5001644,531.5001644,72.57091803,40.12915098,,,,,,,,,,,
11150,01095,01,1928.849492,745,1205.530933,94365,0,460.5309326,723.3185596,1468.31856,62.5,23.87593923,,,,,,,,,,,
13000,01097,01,14900,4259,7206,413553,0,2947,7694,11953,48.36241611,19.77852349,,,,,,,,,,,
11150,01099,01,729.8156219,166,537.5300034,22556,0,371.5300034,192.2856185,358.2856185,73.65284974,50.90737883,,,,,,,,,,,
14350,01101,01,8603.506685,1913,4060.896551,229162,0,2147.896551,4542.610134,6455.610134,47.20048115,24.96536156,,,,,,,,,,,
12600,01103,01,3080.978879,541,1667.134021,119953,0,1126.134021,1413.844858,1954.844858,54.11053066,36.55117627,,,,,,,,,,,
11150,01105,01,,,,,1,,,,,,6880.630527,4755.542987,1874,2881.542987,2125.08754,3999.08754,69.11493021,41.87905419,11150,11150,1
11150,01107,01,,,,,1,,,,,,6880.630527,4755.542987,1874,2881.542987,2125.08754,3999.08754,69.11493021,41.87905419,11150,11150,1
11150,01109,01,1417.520925,222,966.6512555,33122,0,744.6512555,450.8696692,672.8696692,68.19308545,52.53194098,,,,,,,,,,,
11150,01111,01,470.4237288,74,298.2288136,22767,0,224.2288136,172.1949153,246.1949153,63.39578454,47.66528553,,,,,,,,,,,
12500,01113,01,2493.89996,645,1700.667331,57438,0,1055.667331,793.2326292,1438.232629,68.19308545,42.32997906,,,,,,,,,,,
14950,01115,01,1075.35428,93,788.5931388,85261,0,695.5931388,286.7611414,379.7611414,73.33333333,64.68502071,,,,,,,,,,,
14950,01117,01,1705,178,925,201093,0,747,780,958,54.25219941,43.81231672,,,,,,,,,,,
11150,01119,01,,,,,1,,,,,,6880.630527,4755.542987,1874,2881.542987,2125.08754,3999.08754,69.11493021,41.87905419,11150,11150,1
11150,01121,01,2582.963179,602,1637.489772,81503,0,1035.489772,945.4734074,1547.473407,63.39578454,40.08921925,,,,,,,,,,,
11150,01123,01,1003.829315,214,657.8207487,41273,0,443.8207487,346.008566,560.008566,65.53113553,44.21277026,,,,,,,,,,,
13600,01125,01,8151,1586,3032,198762,0,1446,5119,6705,37.19788983,17.74015458,,,,,,,,,,,
11150,01127,01,1914.801218,313,1404.18756,66257,0,1091.18756,510.6136582,823.6136582,73.33333333,56.98698902,,,,,,,,,,,
11150,01129,01,,,,,1,,,,,,6880.630527,4755.542987,1874,2881.542987,2125.08754,3999.08754,69.11493021,41.87905419,11150,11150,1
11150,01131,01,,,,,1,,,,,,6880.630527,4755.542987,1874,2881.542987,2125.08754,3999.08754,69.11493021,41.87905419,11150,11150,1
11150,01133,01,419.1985226,123,261.9990766,24203,0,138.9990766,157.199446,280.199446,62.5,33.15829354,,,,,,,,,,,
16650,02013,02,,,,,1,,,,,,2736.345455,793.9454546,129,664.9454546,1942.4,2071.4,29.01481073,24.30049369,15050,20600,
15050,02016,02,,,,,1,,,,,,2736.345455,793.9454546,129,664.9454546,1942.4,2071.4,29.01481073,24.30049369,15050,20600,
17800,02020,02,5393,900,1014,298384,0,114,4379,5279,18.80215094,2.113851289,,,,,,,,,,,
18700,02050,02,,,,,1,,,,,,2736.345455,793.9454546,129,664.9454546,1942.4,2071.4,29.01481073,24.30049369,15050,20600,
20200,02060,02,,,,,1,,,,,,2736.345455,793.9454546,129,664.9454546,1942.4,2071.4,29.01481073,24.30049369,15050,20600,
15050,02068,02,,,,,1,,,,,,2736.345455,793.9454546,129,664.9454546,1942.4,2071.4,29.01481073,24.30049369,15050,20600,
15400,02070,02,,,,,1,,,,,,2736.345455,793.9454546,129,664.9454546,1942.4,2071.4,29.01481073,24.30049369,15050,20600,
15050,02090,02,1715.728358,145,405.0208955,99951,0,260.0208955,1310.707463,1455.707463,23.60635316,15.15513189,,,,,,,,,,,
15050,02100,02,,,,,1,,,,,,2736.345455,793.9454546,129,664.9454546,1942.4,2071.4,29.01481073,24.30049369,15050,20600,
19550,02110,02,677.9261873,260,160.0336499,32415,0,0,517.8925373,677.9261873,23.60635316,0,,,,,,,,,,,
16000,02122,02,1101.265332,99,317.2647059,56812,0,218.2647059,784.0006258,883.0006258,28.80910683,19.81944765,,,,,,,,,,,
17350,02150,02,,,,,1,,,,,,2736.345455,793.9454546,129,664.9454546,1942.4,2071.4,29.01481073,24.30049369,15050,20600,
15050,02164,02,,,,,1,,,,,,2736.345455,793.9454546,129,664.9454546,1942.4,2071.4,29.01481073,24.30049369,15050,20600,
16700,02170,02,1182.734668,66,340.7352941,93641,0,274.7352941,841.9993742,907.9993742,28.80910683,23.22881889,,,,,,,,,,,
16650,02180,02,,,,,1,,,,,,2736.345455,793.9454546,129,664.9454546,1942.4,2071.4,29.01481073,24.30049369,15050,20600,
20600,02185,02,,,,,1,,,,,,2736.345455,793.9454546,129,664.9454546,1942.4,2071.4,29.01481073,24.30049369,15050,20600,
18200,02188,02,,,,,1,,,,,,2736.345455,793.9454546,129,664.9454546,1942.4,2071.4,29.01481073,24.30049369,15050,20600,
16850,02220,02,,,,,1,,,,,,2736.345455,793.9454546,129,664.9454546,1942.4,2071.4,29.01481073,24.30049369,15050,20600,
16900,02231,02,,,,,,,,,,,,,,,,,,,15050,20600,
16900,02232,02,,,,,1,,,,,,2736.345455,793.9454546,129,664.9454546,1942.4,2071.4,29.01481073,24.30049369,15050,20600,
15050,02240,02,,,,,1,,,,,,2736.345455,793.9454546,129,664.9454546,1942.4,2071.4,29.01481073,24.30049369,15050,20600,
17550,02261,02,,,,,1,,,,,,2736.345455,793.9454546,129,664.9454546,1942.4,2071.4,29.01481073,24.30049369,15050,20600,
15050,02270,02,,,,,1,,,,,,2736.345455,793.9454546,129,664.9454546,1942.4,2071.4,29.01481073,24.30049369,15050,20600,
16900,02282,02,,,,,1,,,,,,2736.345455,793.9454546,129,664.9454546,1942.4,2071.4,29.01481073,24.30049369,15050,20600,
15050,02290,02,,,,,1,,,,,,2736.345455,793.9454546,129,664.9454546,1942.4,2071.4,29.01481073,24.30049369,15050,20600,
16450,02999,02,,,,,1,,,,,,2736.345455,793.9454546,129,664.9454546,1942.4,2071.4,29.01481073,24.30049369,15050,20600,
9850,04001,04,754.5474171,23,381.7517348,72378,0,358.7517348,372.7956823,395.7956823,50.59347181,47.54528697,,,,,,,,,,,
