county,Housing gap,Total ELI renters,Housing gap (asst off),Units per 100 renters,Units per 100 renters (asst off),Number of HUD asst units,AAA units,AAA units (asst off)
17161,4228,5447,6684,22,0,2456,1219,0
17163,7131,10999,10776,35,2,3645,3868,223
17165,469,1104,792,57,28,323,634,311
17167,5874,8069,7704,27,5,1830,2195,365
17169,66,123,74,46,40,8,57,49
17171,34,70,71,52,0,37,36,0
17173,227,422,309,46,27,82,196,114
17175,57,74,75,23,0,18,17,0
17177,817,1328,1167,38,12,350,510,160
17179,1684,3670,2585,54,30,901,1986,1085
17181,301,709,481,57,32,180,407,227
17183,1253,2269,2252,45,1,999,1015,16
17185,109,255,173,57,32,64,147,83
17187,263,472,381,44,19,118,209,91
17189,89,184,96,52,48,7,95,88
17191,173,293,328,41,0,155,120,0
17193,163,384,234,57,39,71,221,150
17195,876,1407,1216,38,14,340,532,192
17197,6861,10867,8749,37,19,1888,4006,2118
17199,1594,2837,2337,44,18,743,1243,500
17201,8305,12190,11136,32,9,2831,3886,1055
17203,529,685,698,23,0,169,156,0
18001,501,595,683,16,0,182,93,0
18003,9740,12853,12390,24,4,2650,3113,463
18005,1288,1730,1903,26,0,615,442,0
18007,198,214,209,8,2,11,16,5
18009,220,442,321,50,27,101,222,121
18011,523,743,674,30,9,151,220,69
18013,269,363,283,26,22,14,94,80
18015,363,392,372,8,5,9,30,21
18017,637,1001,891,36,11,254,363,109
18019,1999,3637,3156,45,13,1157,1638,481
18021,414,927,606,55,35,192,512,320
18023,808,874,897,8,0,89,66,0
18025,70,178,127,61,29,57,108,51
18027,532,739,798,28,0,266,206,0
18029,780,1120,952,30,15,172,340,168
18031,245,380,365,35,4,120,134,14
18033,502,818,534,39,35,32,317,285
18035,5210,7147,6220,27,13,1010,1937,927
18037,352,895,547,61,39,195,543,348
18039,2754,4626,3744,40,19,990,1872,882
18041,521,801,701,35,12,180,280,100
18043,1795,3079,2827,42,8,1032,1284,252
18045,266,595,289,55,51,23,329,306
18047,218,314,235,30,25,17,95,78
18049,214,493,284,57,42,70,279,209
18051,334,501,518,33,0,184,168,0
18053,1351,1995,1983,32,1,632,644,12
18055,673,934,909,28,3,236,261,25
18057,1024,2131,1319,52,38,295,1107,812
18059,1021,1291,1125,21,13,104,270,166
18061,501,859,570,42,34,69,358,289
18063,2195,2264,2335,3,0,140,69,0
18065,766,1537,1120,50,27,354,771,417
18067,2457,3858,3376,36,13,919,1402,483
18069,725,860,823,16,4,98,135,37
18071,795,1068,1037,26,3,242,273,31
18073,209,480,268,57,44,59,272,213
18075,250,502,281,50,44,31,252,221
18077,339,525,573,35,0,234,186,0
18079,222,344,245,35,29,23,122,99
18081,3203,3563,3614,10,0,411,360,0
18083,601,1529,1119,61,27,518,928,410
18085,1055,1296,1188,19,8,133,242,109
18087,341,556,376,39,32,35,215,180
18089,13760,20169,18251,32,10,4491,6409,1918
18091,2905,3993,3529,27,12,624,1088,464
18093,1206,1674,1484,28,11,278,468,190
18095,3455,4133,4534,16,0,1079,678,0
18097,44983,55472,52391,19,6,7408,10489,3081
18099,585,720,739,19,0,154,134,0
18101,168,233,177,28,24,9,65,56
18103,545,805,740,32,8,195,260,65
18105,8439,10362,9526,19,8,1087,1923,836
18107,1030,1114,1431,8,0,401,84,0
18109,1375,1858,1717,26,8,342,483,141
18111,100,231,117,57,49,17,131,114
18113,606,989,808,39,18,202,383,181
18115,96,137,101,30,27,5,42,37
18117,469,651,567,28,13,98,182,84
18119,461,640,511,28,20,50,179,129
18121,150,335,240,55,28,90,185,95
18123,158,401,356,61,11,198,243,45
18125,92,234,141,61,40,49,142,93
18127,2461,2953,2712,17,8,251,492,241
18129,170,255,273,33,0,103,85,0
18131,88,202,91,57,55,3,114,111
18133,509,688,659,26,4,150,179,29
18135,428,858,493,50,43,65,431,366
18137,299,430,349,30,19,50,131,81
18139,231,355,284,35,20,53,124,71
18141,7429,9426,10030,21,0,2601,1997,0
18143,248,384,370,35,4,122,136,14
18145,775,980,921,21,6,146,205,59
18147,142,362,221,61,39,79,220,141
18149,174,400,185,57,54,11,226,215
18151,384,626,544,39,13,160,242,82
18153,407,911,508,55,44,101,503,402
18155,125,180,128,30,29,3,55,52
18157,9669,10837,10970,11,0,1301,1168,0
18159,210,330,216,36,35,6,120,114
18161,108,165,134,35,19,26,58,32
18163,5704,7365,7294,23,1,1590,1661,71
18165,291,651,384,55,41,93,360,267
18167,2245,2876,3167,22,0,922,631,0
18169,545,805,674,32,16,129,260,131
18171,108,241,114,55,53,6,133,127
18173,571,857,674,33,21,103,286,183
18175,369,634,419,42,34,50,264,214
18177,1584,2434,2192,35,10,608,850,242
18179,566,672,665,16,1,99,106,7
18181,524,566,567,8,0,43,43,0
18183,540,641,581,16,9,41,101,60
19001,55,109,97,50,11,42,54,12
19003,31,61,56,50,9,25,30,5
19005,222,302,246,26,18,24,80,56
19007,175,347,284,50,18,109,172,63
19009,32,64,50,50,21,18,32,14
19011,151,269,223,44,17,72,118,46
19013,3777,4364,4987,13,0,1210,587,0
19015,733,977,853,25,13,120,244,124
19017,311,423,408,26,3,97,112,15
19019,364,391,400,7,0,36,27,0
19021,190,393,279,52,29,89,203,114
19023,76,211,85,64,60,9,135,126
19025,83,171,110,52,36,27,89,62
19027,235,487,417,52,14,182,252,70
19029,319,517,424,38,18,105,198,93
19031,238,346,285,31,18,47,108,61
19033,1088,2197,1565,50,29,477,1108,631
19035,124,258,199,52,23,75,133,58
19037,263,357,287,26,20,24,94,70
19039,104,207,162,50,22,58,103,45
19041,228,353,381,35,0,153,125,0
19043,342,465,374,26,19,32,123,91
19045,1261,1830,1548,31,15,287,569,282
19047,142,294,251,52,15,109,152,43
19049,747,969,905,23,7,158,222,64
19051,67,107,90,38,17,23,41,18
19053,134,267,208,50,22,74,132,58
19055,279,300,369,7,0,90,21,0
19057,890,1288,1362,31,0,472,398,0
19059,223,344,296,35,14,73,121,48
19061,3087,3316,3753,7,0,666,229,0
19063,122,188,161,35,15,39,66,27
19065,453,616,521,26,15,68,162,94
19067,299,604,468,50,22,169,305,136
19069,75,208,118,64,43,43,133,90
19071,122,198,176,38,11,54,76,22
19073,99,205,152,52,26,53,106,53
19075,43,119,55,64,54,12,76,64
19077,88,175,161,50,8,73,87,14
19079,149,415,204,64,51,55,266,211
19081,130,261,146,50,44,16,132,116
19083,120,332,158,64,53,38,213,175
19085,298,483,510,38,0,212,185,0
19087,462,668,548,31,18,86,206,120
19089,223,304,248,26,18,25,80,55
19091,78,217,87,64,60,9,139,130
19093,38,78,81,52,0,43,40,0
19095,133,237,134,44,43,1,104,103
19097,527,566,717,7,0,190,39,0
19099,756,1044,959,28,8,203,288,85
19101,276,445,422,38,5,146,169,23
19103,8694,9719,9714,11,0,1020,1025,5
19105,278,403,365,31,10,87,125,38
19107,76,123,120,38,2,44,47,3
19109,165,332,249,50,25,84,168,84
19111,719,1040,1064,31,0,345,321,0
19113,3220,5206,4480,38,14,1260,1986,726
19115,163,235,180,31,24,17,73,56
19117,105,208,183,50,12,78,103,25
19119,46,71,98,35,0,52,25,0
19121,156,215,214,28,1,58,59,1
19123,360,580,498,38,14,138,221,83
19125,401,553,615,28,0,214,152,0
19127,466,830,632,44,24,166,364,198
19129,158,256,259,38,0,101,98,0
19131,109,221,135,50,39,26,111,85
19133,95,197,164,52,17,69,102,33
19135,81,161,139,50,14,58,80,22
19137,256,415,364,38,12,108,159,51
19139,1035,1502,1468,31,2,433,467,34
19141,169,260,242,35,7,73,92,19
19143,61,95,80,35,15,19,33,14
19145,283,459,451,38,2,168,176,8
19147,106,164,168,35,0,62,58,0
19149,126,407,288,69,29,162,281,119
19151,52,108,62,52,42,10,56,46
19153,11205,16104,13551,30,16,2346,4900,2554
19155,2755,4467,3737,38,16,982,1712,730
19157,255,454,380,44,16,125,199,74
19159,31,61,79,50,0,48,30,0
19161,65,135,119,52,12,54,70,16
19163,3853,5271,4823,27,8,970,1418,448
19165,205,332,269,38,19,64,127,63
19167,185,286,301,35,0,116,101,0
19169,6208,8278,6542,25,21,334,2070,1736
19171,174,310,185,44,40,11,136,125
19173,65,130,86,50,33,21,64,43
19175,234,466,343,50,26,109,231,122
19177,52,83,57,38,32,5,32,27
19179,532,859,926,38,0,394,326,0
19181,502,693,702,28,0,200,191,0
19183,296,477,373,38,22,77,181,104
19185,43,86,56,50,34,13,43,30
19187,407,1130,804,64,29,397,723,326
19189,164,331,206,50,38,42,167,125
19191,460,625,538,26,14,78,165,87
19193,1195,3856,2288,69,41,1093,2661,1568
19195,80,162,107,50,34,27,82,55
19197,93,260,129,64,50,36,166,130
20001,210,524,330,60,37,120,315,195
20003,93,234,118,60,49,25,140,115
20005,151,249,328,39,0,177,98,0
20007,65,91,80,28,12,15,26,11
20009,608,845,787,28,7,179,238,59
20011,183,459,346,60,25,163,276,113
20013,204,319,274,36,14,70,116,46
20015,687,917,989,25,0,302,230,0
20017,53,73,61,28,17,8,21,13
20019,70,98,77,28,21,7,27,20
20021,215,422,286,49,32,71,206,135
20023,24,55,41,56,26,17,31,14
20025,20,29,22,32,25,2,9,7
20027,109,160,147,32,8,38,51,13
20029,130,191,167,32,13,37,61,24
20031,188,261,200,28,23,12,73,61
20033,31,43,38,28,12,7,12,5
20035,1101,1531,1313,28,14,212,429,217
20037,988,1933,1407,49,27,419,946,527
20039,26,60,49,56,18,23,34,11
20041,265,390,352,32,10,87,125,38
20043,62,103,77,39,25,15,40,25
20045,6832,8433,7494,19,11,662,1601,939
20047,67,93,79,28,15,12,26,14
20049,44,60,58,28,5,14,17,3
20051,423,970,618,56,36,195,547,352
20053,67,99,83,32,16,16,32,16
20055,367,540,542,32,0,175,172,0
20057,276,405,462,32,0,186,129,0
20059,411,1028,620,60,40,209,618,409
20061,832,948,1039,12,0,207,116,0
20063,9,20,9,56,56,,11,11
20065,17,38,27,56,30,10,21,11
20067,79,116,91,32,22,12,37,25
20069,31,46,31,32,32,,15,15
20071,4,10,5,56,47,1,6,5
20073,170,236,198,28,16,28,66,38
20075,13,18,15,32,21,2,6,4
20077,118,164,150,28,9,32,46,14
20079,781,1170,1129,33,3,348,388,40
20081,23,34,28,32,17,5,11,6
20083,12,18,17,32,4,5,6,1
20085,115,180,171,36,5,56,65,9
20087,104,171,129,39,25,25,67,42
20089,23,34,33,32,2,10,11,1
20091,8740,11362,10514,23,7,1774,2622,848
20093,10,15,18,32,0,8,5,0
20095,91,127,93,28,27,2,36,34
20097,72,101,88,28,12,16,28,12
20099,323,632,488,49,23,165,309,144
20101,6,15,11,56,23,5,8,3
20103,856,1411,1287,39,9,431,554,123
20105,24,35,37,32,0,13,11,0
20107,83,209,116,60,44,33,125,92
20109,19,43,38,56,12,19,24,5
20111,1515,2105,1671,28,21,156,589,433
20113,402,655,544,39,17,142,253,111
20115,209,290,237,28,18,28,81,53
20117,102,150,130,32,13,28,48,20
20119,40,59,44,32,25,4,19,15
20121,376,942,601,60,36,225,566,341
20123,64,95,90,32,5,26,30,4
20125,597,1168,886,49,24,289,571,282
20127,110,153,121,28,21,11,43,32
20129,34,50,35,32,30,1,16,15
20131,111,163,149,32,9,38,52,14
20133,251,490,376,49,23,125,240,115
20135,12,27,17,56,38,5,15,10
20137,39,88,49,56,45,10,50,40
20139,182,285,247,36,13,65,103,38
20141,21,48,50,56,0,29,27,0
20143,53,78,84,32,0,31,25,0
20145,108,150,121,28,19,13,42,29
20147,25,57,50,56,13,25,32,7
20149,266,304,313,12,0,47,37,0
20151,267,372,309,28,17,42,105,63
20153,13,30,22,56,26,9,17,8
20155,1571,2558,1911,39,25,340,987,647
20157,38,57,53,32,6,15,18,3
20159,156,255,214,39,16,58,98,40
20161,2824,3217,3113,12,3,289,393,104
20163,46,105,59,56,44,13,59,46
20165,83,115,91,28,21,8,32,24
20167,60,138,100,56,27,40,78,38
20169,1245,1832,1623,32,11,378,587,209
20171,9,20,11,56,46,2,11,9
20173,15406,19469,18529,21,5,3123,4062,939
20175,254,372,340,32,9,86,119,33
20177,5386,8111,7289,34,10,1903,2725,822
20179,15,35,19,56,45,4,20,16
20181,87,198,127,56,36,40,112,72
20183,16,37,42,56,0,26,21,0
20185,39,54,53,28,2,14,15,1
20187,6,9,16,32,0,10,3,0
20189,53,77,56,32,28,3,25,22
20191,428,596,594,28,0,166,168,2
20193,87,200,120,56,40,33,113,80
20195,11,25,20,56,21,9,14,5
20197,28,44,33,36,25,5,16,11
20199,4,10,9,56,5,5,6,1
20201,32,48,61,32,0,29,15,0
20203,7,17,7,56,56,,10,10
20205,155,215,192,28,11,37,60,23
20207,80,111,81,28,27,1,31,30
20209,5499,9081,8525,39,6,3026,3582,556
21001,333,469,430,29,8,97,136,39
21003,279,566,421,51,26,142,287,145
21005,414,554,466,25,16,52,141,89
21007,53,195,83,73,57,30,142,112
21009,1062,2152,1531,51,29,469,1090,621
21011,266,536,360,50,33,94,270,176
21013,377,927,1195,59,0,818,550,0
21015,2756,3191,3610,14,0,854,435,0
21017,374,642,753,42,0,379,269,0
21019,762,1548,1555,51,0,793,786,0
21021,886,1436,1256,38,13,370,550,180
21023,149,301,214,50,29,65,152,87
21025,258,623,358,59,43,100,365,265
21027,132,209,240,37,0,108,77,0
21029,1162,1614,1501,28,7,339,452,113
21031,175,355,295,51,17,120,180,60
21033,235,364,327,35,10,92,129,37
21035,576,2118,729,73,66,153,1542,1389
21037,2460,4551,3686,46,19,1226,2091,865
21039,14,50,32,73,37,18,37,19
21041,325,602,454,46,25,129,276,147
21043,259,527,425,51,19,166,267,101
21045,276,388,373,29,4,97,112,15
21047,1956,2638,2748,26,0,792,682,0
21049,654,1124,1322,42,0,668,470,0
21051,337,667,494,50,26,157,330,173
21053,170,240,257,29,0,87,69,0
21055,139,216,163,35,24,24,76,52
21057,117,165,184,29,0,67,48,0
21059,2854,3652,3999,22,0,1145,798,0
21061,219,444,286,51,36,67,225,158
21063,50,101,119,51,0,69,52,0
21065,240,449,378,46,16,138,208,70
21067,11029,14177,14025,22,1,2996,3148,152
21069,228,458,308,50,33,80,231,151
21071,397,1468,877,73,40,480,1070,590
21073,1965,2633,2469,25,6,504,668,164
21075,87,319,279,73,13,192,232,40
21077,189,349,197,46,44,8,160,152
21079,368,597,488,38,18,120,228,108
21081,503,930,649,46,30,146,427,281
21083,379,1394,687,73,51,308,1015,707
21085,239,379,367,37,3,128,140,12
21087,273,384,399,29,0,126,111,0
21089,394,801,614,51,23,220,407,187
21091,112,143,192,22,0,80,31,0
21093,1326,2241,1797,41,20,471,915,444
21095,258,635,597,59,6,339,377,38
21097,313,538,520,42,3,207,225,18
21099,345,700,475,51,32,130,355,225
21101,1234,2142,2035,42,5,801,909,108
21103,521,684,662,24,3,141,163,22
21105,43,158,73,73,54,30,115,85
21107,926,1433,1377,35,4,451,507,56
21109,275,546,423,50,22,148,270,122
21111,29791,42493,39632,30,7,9841,12702,2861
21113,1339,2170,1648,38,24,309,831,522
21115,210,776,444,73,43,234,566,332
21117,5924,8030,7746,26,4,1822,2106,284
21119,141,340,193,59,43,52,199,147
21121,508,1249,1086,59,13,578,741,163
21123,54,327,209,83,36,155,273,118
21125,1243,2462,1575,50,36,332,1219,887
21127,137,279,219,51,21,82,142,60
21129,116,279,211,59,25,95,163,68
21131,112,270,143,59,47,31,158,127
21133,282,680,405,59,40,123,398,275
21135,187,377,259,50,31,72,190,118
21137,547,886,663,38,25,116,339,223
21139,81,125,84,35,33,3,44,41
21141,548,1110,767,51,31,219,562,343
21143,46,62,101,26,0,55,16,0
21145,788,2898,1954,73,33,1166,2110,944
21147,649,959,738,32,23,89,310,221
21149,107,186,201,42,0,94,79,0
21151,1825,3406,2426,46,29,601,1581,980
21153,116,427,171,73,60,55,311,256
21155,73,444,300,83,32,227,370,143
21157,158,581,394,73,32,236,423,187
21159,108,400,262,73,34,154,292,138
21161,398,801,602,50,25,204,404,200
21163,262,414,317,37,24,55,153,98
21165,157,315,179,50,43,22,159,137
21167,610,817,761,25,7,151,207,56
21169,98,199,167,51,16,69,101,32
21171,234,475,334,51,30,100,241,141
21173,708,1427,884,50,38,176,718,542
21175,246,496,267,50,46,21,250,229
21177,444,687,614,35,11,170,243,73
21179,207,1255,565,83,55,358,1048,690
21181,58,100,104,42,0,46,42,0
21183,339,590,442,42,25,103,250,147
21185,802,1053,890,24,15,88,250,162
21187,234,433,263,46,39,29,199,170
21189,37,90,37,59,59,,53,53
21191,228,422,319,46,24,91,194,103
21193,479,1155,657,59,43,178,676,498
21195,674,2490,1193,73,52,519,1816,1297
21197,307,573,388,46,32,81,266,185
21199,2369,3498,2804,32,20,435,1130,695
21201,48,96,48,50,50,,48,48
21203,288,570,392,50,31,104,282,178
21205,732,1473,958,50,35,226,742,516
21207,421,592,563,29,5,142,172,30
21209,576,990,1061,42,0,485,414,0
21211,967,1280,1265,24,1,298,312,14
21213,374,757,445,51,41,71,384,313
21215,104,145,172,28,0,68,41,0
21217,692,975,1097,29,0,405,282,0
21219,169,228,254,26,0,85,59,0
21221,166,223,242,26,0,76,58,0
21223,126,165,163,24,1,37,39,2
21225,281,488,389,42,20,108,207,99
21227,3100,4506,4141,31,8,1041,1406,365
21229,36,219,113,83,48,77,183,106
21231,658,972,813,32,16,155,314,159
21233,220,382,294,42,23,74,162,88
21235,413,1016,959,59,6,546,603,57
21237,168,406,242,59,40,74,237,163
21239,499,669,709,25,0,210,170,0
22001,730,1710,1416,57,17,686,980,294
22003,347,650,541,47,17,194,303,109
22005,1537,2234,1846,31,17,309,697,388
22007,335,389,351,14,10,16,54,38
22009,567,1243,844,54,32,277,676,399
22011,525,983,688,47,30,163,458,295
22013,335,513,459,35,11,124,178,54
22015,2088,2948,2852,29,3,764,860,96
22017,7202,10342,10061,30,3,2859,3140,281
22019,3781,7816,6648,52,15,2867,4034,1167
22021,256,476,369,46,22,113,219,106
22023,8,17,18,54,0,10,9,0
22025,47,102,131,54,0,84,56,0
22027,333,511,476,35,7,143,177,34
22029,252,553,427,54,23,175,301,126
22031,574,879,820,35,7,246,305,59
22033,17170,20051,20963,14,0,3793,2881,0
22035,389,723,596,46,17,207,333,126
22037,297,559,299,47,46,2,262,260
22039,890,1465,1395,39,5,505,575,70
22041,609,1130,743,46,34,134,521,387
22043,169,371,282,54,24,113,202,89
22045,1403,2347,2162,40,8,759,944,185
22047,428,804,599,47,26,171,376,205
22049,482,896,654,46,27,172,413,241
22051,12802,15890,15881,19,0,3079,3088,9
22053,360,778,544,54,30,184,417,233
22055,4521,8879,6666,49,25,2145,4358,2213
22057,2272,2639,2810,14,0,538,367,0
22059,76,167,128,54,23,52,91,39
22061,2025,3101,2499,35,19,474,1076,602
22063,1924,2609,2067,26,21,143,685,542
22065,491,911,605,46,34,114,420,306
22067,846,1571,1011,46,36,165,725,560
22069,1732,2653,2358,35,11,626,920,294
22071,21985,29958,31034,27,0,9049,7973,0
22073,5460,7257,8053,25,0,2593,1797,0
22075,488,531,518,8,2,30,43,13
22077,271,510,344,47,32,73,239,166
22079,2910,3781,4082,23,0,1172,872,0
22081,128,196,221,35,0,93,68,0
22083,457,848,618,46,27,161,391,230
22085,368,564,626,35,0,258,196,0
22087,1141,1242,1343,8,0,202,100,0
22089,569,958,765,41,20,196,389,193
22091,138,187,151,26,19,13,49,36
22093,157,264,375,41,0,218,107,0
22095,510,859,824,41,4,314,349,35
22097,1970,3245,3100,39,4,1130,1275,145
22099,543,909,963,40,0,420,366,0
22101,1107,1851,1422,40,23,315,745,430
22103,2734,4139,3345,34,19,611,1405,794
22105,2793,3747,3335,25,11,542,955,413
22107,163,303,182,46,40,19,140,121
22109,1583,2135,2105,26,1,522,552,30
22111,407,756,534,46,29,127,349,222
22113,516,1208,978,57,19,462,692,230
22115,886,1152,1060,23,8,174,265,91
22117,788,1058,1071,25,0,283,269,0
22119,717,1013,1186,29,0,469,296,0
22121,488,917,561,47,39,73,429,356
22123,324,601,383,46,36,59,277,218
22125,147,277,176,47,36,29,130,101
22127,166,365,267,54,27,101,198,97
23001,2897,4967,4633,42,7,1736,2070,334
23003,1358,2763,2160,51,22,802,1405,603
23005,8843,12129,13163,27,0,4320,3286,0
23007,722,1209,861,40,29,139,486,347
23009,715,1524,1149,53,25,434,809,375
23011,5301,6701,6552,21,2,1251,1400,149
23013,468,997,758,53,24,290,529,239
23015,223,475,400,53,16,177,252,75
23017,1179,1972,1656,40,16,477,793,316
23019,4552,6452,6272,29,3,1720,1900,180
23021,302,505,391,40,23,89,203,114
23023,508,539,917,6,0,409,30,0
23025,1080,1807,1347,40,25,267,727,460
23027,429,915,554,53,39,125,486,361
23029,434,883,637,51,28,203,449,246
23031,2389,4047,4011,41,1,1622,1658,36
24001,2204,3722,3212,41,14,1008,1519,511
24003,4733,7664,7824,38,0,3091,2931,0
24005,18242,25858,24501,29,5,6259,7616,1357
24009,1143,1855,1464,38,21,321,711,390
24011,594,1043,812,43,22,218,449,231
24013,1438,1935,2309,26,0,871,497,0
24015,3592,4827,4264,26,12,672,1235,563
24017,1444,2423,2412,40,0,968,979,11
24019,1064,1867,1538,43,18,474,804,330
24021,3060,5153,4562,41,11,1502,2093,591
24023,679,1148,805,41,30,126,468,342
24025,2483,4713,4274,47,9,1791,2230,439
24027,3178,3767,4207,16,0,1029,589,0
24029,401,704,536,43,24,135,303,168
24031,15215,22588,22537,33,0,7322,7373,51
24033,22364,30013,27905,25,7,5541,7649,2108
24035,593,1040,711,43,32,118,448,330
24037,1482,2403,2234,38,7,752,922,170
24039,593,1008,852,41,15,259,414,155
24041,1012,1776,1212,43,32,200,764,564
24043,3253,4343,5122,25,0,1869,1090,0
24045,2769,4703,3647,41,22,878,1934,1056
24047,779,1323,996,41,25,217,544,327
24510,30568,53516,53934,43,0,23366,22948,0
25001,3000,5918,4549,49,23,1549,2918,1369
25003,4501,8186,6747,45,18,2246,3685,1439
25005,16510,28410,24596,42,13,8086,11900,3814
25007,186,275,283,32,0,97,89,0
25009,26277,42262,38764,38,8,12487,15985,3498
25011,1609,2904,2538,45,13,929,1295,366
25013,19080,34932,29911,45,14,10831,15852,5021
25015,4321,7264,5384,41,26,1063,2943,1880
25017,35475,63843,55183,44,14,19708,28368,8660
25019,144,212,153,32,28,9,69,60
25021,14221,24301,20224,41,17,6003,10080,4077
25023,8086,12875,12996,37,0,4910,4789,0
25025,37014,74640,71004,50,5,33990,37626,3636
25027,21137,36764,31024,43,16,9887,15628,5741
26001,62,110,82,44,26,20,48,28
26003,82,135,133,40,2,51,53,2
26005,1203,1869,1526,36,18,323,666,343
26007,399,710,664,44,6,265,310,45
26009,281,450,294,38,35,13,169,156
26011,131,259,184,49,29,53,128,75
26013,124,178,162,31,9,38,54,16
26015,535,760,646,30,15,111,225,114
26017,2176,3089,3242,30,0,1066,913,0
26019,148,302,178,51,41,30,154,124
26021,5172,7714,6725,33,13,1553,2542,989
26023,494,875,642,44,27,148,381,233
26025,3072,4367,3986,30,9,914,1295,381
26027,509,1099,801,54,27,292,590,298
26029,294,471,412,38,13,118,177,59
26031,284,505,387,44,23,103,221,118
26033,656,1085,980,40,10,324,429,105
26035,748,906,910,17,0,162,158,0
26037,996,1174,1174,15,0,178,178,0
26039,188,334,253,44,24,65,146,81
26041,599,991,899,40,9,300,392,92
26043,532,766,681,31,11,149,234,85
26045,1928,2272,2469,15,0,541,344,0
26047,531,850,634,38,25,103,320,217
26049,13913,18506,17050,25,8,3137,4594,1457
26051,216,425,376,49,12,160,210,50
26053,426,613,586,31,4,160,187,27
26055,1163,2379,1581,51,34,418,1216,798
26057,1070,1297,1348,17,0,278,226,0
26059,533,943,781,43,17,248,409,161
26061,1256,1809,1531,31,15,275,552,277
26063,488,573,630,15,0,142,85,0
26065,15149,19749,18043,23,9,2894,4600,1706
26067,848,1428,1206,41,16,358,580,222
26069,203,401,285,49,29,82,198,116
26071,179,258,299,31,0,120,79,0
26073,3883,4703,4249,17,10,366,820,454
26075,5512,6990,6812,21,3,1300,1478,178
26077,7817,11934,10194,34,15,2377,4117,1740
26079,197,316,244,38,23,47,119,72
26081,16375,20756,20739,21,0,4364,4381,17
26083,16,22,16,31,31,,7,7
26085,160,237,262,33,0,102,77,0
26087,1421,1595,1810,11,0,389,174,0
26089,190,389,209,51,46,19,199,180
26091,1429,2526,1774,43,30,345,1098,753
26093,2144,2857,2390,25,16,246,713,467
26095,80,131,109,40,17,29,52,23
26097,154,254,178,40,30,24,100,76
26099,16366,21096,20846,22,1,4480,4730,250
26101,290,593,424,51,29,134,303,169
26103,1860,2678,2507,31,6,647,818,171
26105,584,867,679,33,22,95,282,187
26107,853,1437,1106,41,23,253,584,331
26109,294,486,518,40,0,224,192,0
26111,1767,2509,2195,30,13,428,742,314
26113,159,254,168,38,34,9,96,87
26115,2188,3615,3026,39,16,838,1427,589
26117,763,1285,1060,41,18,297,522,225
26119,101,179,143,44,20,42,78,36
26121,3015,5168,4124,42,20,1109,2153,1044
26123,611,906,736,33,19,125,295,170
26125,23731,31067,29748,24,4,6017,7336,1319
26127,366,543,429,33,21,63,177,114
26129,224,441,264,49,40,40,217,177
26131,94,135,132,31,2,38,41,3
26133,271,456,404,41,11,133,185,52
26135,97,172,120,44,30,23,75,52
26137,262,465,353,44,24,91,204,113
26139,3670,4330,4148,15,4,478,660,182
26141,75,133,166,44,0,91,58,0
26143,331,653,382,49,41,51,322,271
26145,3987,6710,5481,41,18,1494,2723,1229
26147,4481,6220,5710,28,8,1229,1739,510
26149,710,1259,1026,44,18,316,549,233
26151,628,738,787,15,0,159,110,0
26153,83,137,175,40,0,92,54,0
26155,1261,1560,1533,19,2,272,299,27
26157,834,980,894,15,9,60,145,85
26159,1131,2444,1408,54,42,277,1313,1036
26161,16114,19764,19008,18,4,2894,3650,756
26163,74071,99737,94743,26,5,20672,25666,4994
26165,496,794,751,38,5,255,299,44
27001,239,366,351,35,4,112,127,15
27003,4289,6436,5874,33,9,1585,2147,562
27005,620,1160,862,47,26,242,540,298
27007,1103,2064,1401,47,32,298,961,663
27009,1177,1438,1515,18,0,338,261,0
27011,81,118,132,32,0,51,38,0
27013,2298,3323,2947,31,11,649,1025,376
27015,261,591,455,56,23,194,331,137
27017,721,1105,919,35,17,198,384,186
27019,280,1677,597,83,64,317,1397,1080
27021,513,786,635,35,19,122,274,152
27023,163,371,287,56,22,124,207,83
27025,448,949,645,53,32,197,501,304
27027,1598,2684,2210,40,18,612,1087,475
27029,167,313,219,47,30,52,146,94
27031,135,207,150,35,27,15,72,57
27033,124,254,225,51,11,101,129,28
27035,807,1584,1267,49,20,460,776,316
27037,7495,11430,9594,34,16,2099,3935,1836
27039,258,370,390,30,0,132,112,0
27041,720,1056,991,32,6,271,336,65
27043,206,421,313,51,26,107,215,108
27045,178,398,268,55,33,90,220,130
27047,720,1033,966,30,6,246,313,67
27049,423,1233,874,66,29,451,810,359
27051,82,121,127,32,0,45,38,0
27053,32028,55540,48272,42,13,16244,23512,7268
27055,139,310,268,55,14,129,172,43
27057,325,609,452,47,26,127,284,157
27059,311,658,481,53,27,170,347,177
27061,858,1316,1199,35,9,341,458,117
27063,103,210,164,51,22,61,107,46
27065,163,345,253,53,27,90,182,92
27067,736,1793,1127,59,37,391,1057,666
27069,40,67,87,40,0,47,27,0
27071,485,743,703,35,5,218,258,40
27073,38,85,88,56,0,50,48,0
27075,291,445,352,35,21,61,154,93
27077,35,66,65,47,1,30,31,1
27079,176,511,333,66,35,157,336,179
27081,36,83,77,56,6,41,46,5
27083,381,865,705,56,18,324,483,159
27085,458,1116,743,59,33,285,658,373
27087,116,217,139,47,36,23,101,78
27089,87,146,159,40,0,72,59,0
27091,383,783,548,51,30,165,400,235
27093,248,604,376,59,38,128,356,228
27095,327,693,482,53,30,155,366,211
27097,301,590,554,49,6,253,289,36
