county,Housing gap,Total ELI renters,Housing gap (asst off),Units per 100 renters,Units per 100 renters (asst off),Number of HUD asst units,AAA units,AAA units (asst off)
49057,2663,3588,3974,26,0,1311,925,0
50001,518,696,624,26,10,106,179,73
50003,640,861,910,26,0,270,221,0
50005,440,1111,579,60,48,139,672,533
50007,4571,5858,6376,22,0,1805,1287,0
50009,62,158,95,60,39,33,95,62
50011,889,1139,1275,22,0,386,250,0
50013,87,111,128,22,0,41,24,0
50015,375,947,473,60,50,98,572,474
50017,296,508,439,42,14,143,212,69
50019,337,853,411,60,52,74,515,441
50021,1099,1478,1590,26,0,491,379,0
50023,829,2095,1379,60,34,550,1266,716
50025,788,1353,1201,42,11,413,565,152
50027,1005,1725,1461,42,15,456,720,264
51001,418,681,507,39,26,89,263,174
