l30_4,county,state,hud_units06,pop2011_13,state_flag,Avg_ELITotal_05_07,Avg_Units_05_07,Avg_Units_No_Assist_05_07,Gap_05_to_07,Gap_05_to_07_No_Assist,per100,per100_No_Assist,state_hud_units06,State_Avg_ELITotal_05_07,State_Avg_Units_05_07,State_Avg_Units_No_Assist_05_07,State_Gap_05_to_07,State_Gap_05_to_07_No_Assist,State_per100,State_per100_No_Assist,MinEli,MaxEli,min_max_same
14300,01067,01,147,,1,,,,,,,,2351,7924.988787,4678.077506,2327.077506,3246.911281,5597.911281,59.02945268,29.36379556,13550,16750,
14750,01069,01,940,103112,0,2897.809831,1556.145605,616.1456045,1341.664226,2281.664226,53.70074972,21.26245822,,,,,,,,,,,
13900,01071,01,342,53078,0,1668.392296,1016.950519,674.9505185,651.4417778,993.4417778,60.95392078,40.45514475,,,,,,,,,,,
17200,01073,01,7512,658601,0,23621,9599.333333,2087.333333,14021.66667,21533.66667,40.63897944,8.836769541,,,,,,,,,,,
13550,01075,01,175,,1,,,,,,,,2351,7924.988787,4678.077506,2327.077506,3246.911281,5597.911281,59.02945268,29.36379556,13550,16750,
15000,01077,01,997,92693,0,3740.508723,1547.856684,550.856684,2192.652039,3189.652039,41.38091363,14.72678517,,,,,,,,,,,
16100,01079,01,159,33806,0,754.8291448,321.6368348,162.6368348,433.19231,592.19231,42.61054797,21.54617849,,,,,,,,,,,
17300,01081,01,1082,147537,0,7397.666667,2176,1094,5221.666667,6303.666667,29.4146803,14.78844681,,,,,,,,,,,
19450,01083,01,479,87255,0,1684.52386,741.5388534,262.5388534,942.9850071,1421.985007,44.02067972,15.58534489,,,,,,,,,,,
16750,01085,01,85,,1,,,,,,,,2351,7924.988787,4678.077506,2327.077506,3246.911281,5597.911281,59.02945268,29.36379556,13550,16750,
13550,01087,01,377,20429,0,1129.87793,743.6411502,366.6411502,386.23678,763.23678,65.81606121,32.4496249,,,,,,,,,,,
19450,01089,01,2394,343112,0,9760.809473,4111.79448,1717.79448,5649.014993,8043.014993,42.125548,17.59889366,,,,,,,,,,,
13550,01091,01,246,20411,0,943.4994683,484.9923786,238.9923786,458.5070897,704.5070897,51.40356671,25.33042006,,,,,,,,,,,
13550,01093,01,385,30538,0,824.2940851,471.4267551,86.42675511,352.86733,737.86733,57.1915732,10.4849418,,,,,,,,,,,
14250,01095,01,984,94365,0,3023.015249,1181.095572,197.0955718,1841.919678,2825.919678,39.07011624,6.519833858,,,,,,,,,,,
14850,01097,01,4818,413553,0,17021.33333,6166.666667,1348.666667,10854.66667,15672.66667,36.2290459,7.923390255,,,,,,,,,,,
13900,01099,01,136,22556,0,992.5785441,615.6118702,479.6118702,376.9666739,512.9666739,62.02147667,48.31979021,,,,,,,,,,,
16750,01101,01,2743,229162,0,10464.26296,3307.947858,564.9478579,7156.3151,9899.3151,31.61185715,5.398830861,,,,,,,,,,,
16100,01103,01,1017,119953,0,3783.170855,1612.029832,595.0298318,2171.141023,3188.141023,42.61054797,15.72833622,,,,,,,,,,,
13550,01105,01,118,,1,,,,,,,,2351,7924.988787,4678.077506,2327.077506,3246.911281,5597.911281,59.02945268,29.36379556,13550,16750,
13550,01107,01,219,,1,,,,,,,,2351,7924.988787,4678.077506,2327.077506,3246.911281,5597.911281,59.02945268,29.36379556,13550,16750,
13550,01109,01,551,33122,0,1890.269713,1244.101071,693.1010712,646.1686415,1197.168641,65.81606121,36.66678181,,,,,,,,,,,
13550,01111,01,101,22767,0,437.1911514,279.907733,178.907733,157.2834184,258.2834184,64.02410756,40.92208464,,,,,,,,,,,
14600,01113,01,784,57438,0,2766.173728,1820.586594,1036.586594,945.5871338,1729.587134,65.81606121,37.47366203,,,,,,,,,,,
17200,01115,01,161,85261,0,1291.047784,752.7622347,591.7622347,538.2855493,699.2855493,58.30630315,45.83581197,,,,,,,,,,,
17200,01117,01,279,201093,0,2326,660.6666667,381.6666667,1665.333333,1944.333333,28.40355403,16.4087131,,,,,,,,,,,
13550,01119,01,233,,1,,,,,,,,2351,7924.988787,4678.077506,2327.077506,3246.911281,5597.911281,59.02945268,29.36379556,13550,16750,
14300,01121,01,932,81503,0,2843.373795,1820.444697,888.4446965,1022.929098,1954.929098,64.02410756,31.24614492,,,,,,,,,,,
14150,01123,01,424,41273,0,1209.836321,687.7225779,263.7225779,522.1137431,946.1137431,56.84426612,21.79820306,,,,,,,,,,,
15900,01125,01,2207,198762,0,10125.66667,3067,860,7058.666667,9265.666667,30.28936366,8.493267933,,,,,,,,,,,
13550,01127,01,487,66257,0,1780.130937,1037.92854,550.9285405,742.2023964,1229.202396,58.30630315,30.94876501,,,,,,,,,,,
13900,01129,01,20,,1,,,,,,,,2351,7924.988787,4678.077506,2327.077506,3246.911281,5597.911281,59.02945268,29.36379556,13550,16750,
13550,01131,01,115,,1,,,,,,,,2351,7924.988787,4678.077506,2327.077506,3246.911281,5597.911281,59.02945268,29.36379556,13550,16750,
13550,01133,01,214,24203,0,802.7746943,313.6450062,99.64500618,489.1296881,703.1296881,39.07011624,12.4125744,,,,,,,,,,,
20450,02013,02,0,,1,,,,,,,,294,3193.973405,1579.194233,1285.194233,1614.779172,1908.779172,49.4429362,40.23810063,20450,26800,
26800,02016,02,0,,1,,,,,,,,294,3193.973405,1579.194233,1285.194233,1614.779172,1908.779172,49.4429362,40.23810063,20450,26800,
23600,02020,02,1588,298384,0,7445,1591.666667,3.666666667,5853.333333,7441.333333,21.37900157,0.049250056,,,,,,,,,,,
21200,02050,02,46,,1,,,,,,,,294,3193.973405,1579.194233,1285.194233,1614.779172,1908.779172,49.4429362,40.23810063,20450,26800,
22000,02060,02,0,,1,,,,,,,,294,3193.973405,1579.194233,1285.194233,1614.779172,1908.779172,49.4429362,40.23810063,20450,26800,
25950,02068,02,0,,1,,,,,,,,294,3193.973405,1579.194233,1285.194233,1614.779172,1908.779172,49.4429362,40.23810063,20450,26800,
20450,02070,02,3,,1,,,,,,,,294,3193.973405,1579.194233,1285.194233,1614.779172,1908.779172,49.4429362,40.23810063,20450,26800,
21050,02090,02,415,99951,0,2450.972658,865.6154191,450.6154191,1585.357239,2000.357239,35.31722054,18.38516711,,,,,,,,,,,
20450,02100,02,0,,1,,,,,,,,294,3193.973405,1579.194233,1285.194233,1614.779172,1908.779172,49.4429362,40.23810063,20450,26800,
26050,02110,02,372,32415,0,826.3872703,291.8570148,0,534.5302555,826.3872703,35.31722054,0,,,,,,,,,,,
20450,02122,02,148,56812,0,1183.226749,327.7506192,179.7506192,855.4761295,1003.476129,27.69973038,15.1915615,,,,,,,,,,,
21850,02150,02,32,,1,,,,,,,,294,3193.973405,1579.194233,1285.194233,1614.779172,1908.779172,49.4429362,40.23810063,20450,26800,
20450,02164,02,0,,1,,,,,,,,294,3193.973405,1579.194233,1285.194233,1614.779172,1908.779172,49.4429362,40.23810063,20450,26800,
21100,02170,02,117,93641,0,1165.773251,322.9160475,205.9160475,842.8572039,959.8572039,27.69973038,17.66347334,,,,,,,,,,,
20450,02180,02,6,,1,,,,,,,,294,3193.973405,1579.194233,1285.194233,1614.779172,1908.779172,49.4429362,40.23810063,20450,26800,
25000,02185,02,2,,1,,,,,,,,294,3193.973405,1579.194233,1285.194233,1614.779172,1908.779172,49.4429362,40.23810063,20450,26800,
20450,02188,02,1,,1,,,,,,,,294,3193.973405,1579.194233,1285.194233,1614.779172,1908.779172,49.4429362,40.23810063,20450,26800,
23100,02220,02,38,,1,,,,,,,,294,3193.973405,1579.194233,1285.194233,1614.779172,1908.779172,49.4429362,40.23810063,20450,26800,
20450,02232,02,0,,1,,,,,,,,294,3193.973405,1579.194233,1285.194233,1614.779172,1908.779172,49.4429362,40.23810063,20450,26800,
20450,02240,02,0,,1,,,,,,,,294,3193.973405,1579.194233,1285.194233,1614.779172,1908.779172,49.4429362,40.23810063,20450,26800,
22350,02261,02,29,,1,,,,,,,,294,3193.973405,1579.194233,1285.194233,1614.779172,1908.779172,49.4429362,40.23810063,20450,26800,
20450,02270,02,1,,1,,,,,,,,294,3193.973405,1579.194233,1285.194233,1614.779172,1908.779172,49.4429362,40.23810063,20450,26800,
20450,02282,02,0,,1,,,,,,,,294,3193.973405,1579.194233,1285.194233,1614.779172,1908.779172,49.4429362,40.23810063,20450,26800,
20450,02290,02,0,,1,,,,,,,,294,3193.973405,1579.194233,1285.194233,1614.779172,1908.779172,49.4429362,40.23810063,20450,26800,
20450,02999,02,136,,1,,,,,,,,294,3193.973405,1579.194233,1285.194233,1614.779172,1908.779172,49.4429362,40.23810063,20450,26800,
12300,04001,04,59,72378,0,777.4019366,372.0525193,313.0525193,405.3494174,464.3494174,47.85845027,40.26906862,,,,,,,,,,,
13550,04003,04,401,131232,0,2880.884666,1084.460854,683.4608539,1796.423812,2197.423812,37.64332764,23.72399221,,,,,,,,,,,
16400,04005,04,369,135522,0,2998.666667,1005.666667,636.6666667,1993,2362,33.53712761,21.23165851,,,,,,,,,,,
12800,04007,04,41,53201,0,939.45,434.65,393.65,504.8,545.8,46.26643249,41.90217681,,,,,,,,,,,
12300,04009,04,18,37170,0,538.8102225,202.8260974,184.8260974,335.9841251,353.9841251,37.64332764,34.30263378,,,,,,,,,,,
15350,04011,04,0,,1,,,,,,,,0,58.66277811,22.08262177,22.08262177,36.58015634,36.58015634,37.64332764,37.64332764,15350,15350,1
12300,04012,04,0,20356,0,364.1629182,109.6110376,109.6110376,254.5518806,254.5518806,30.09945059,30.09945059,,,,,,,,,,,
18050,04013,04,11266,3939668,0,86237,17285.66667,6019.666667,68951.33333,80217.33333,20.04437384,6.980375786,,,,,,,,,,,
17750,04015,04,280,202857,0,4428.837082,1333.055629,1053.055629,3095.781453,3375.781453,30.09945059,23.77724919,,,,,,,,,,,
12300,04017,04,99,107144,0,1954.26473,935.280814,836.280814,1018.983916,1117.983916,47.85845027,42.79260641,,,,,,,,,,,
15700,04019,04,4395,992286,0,27285.33333,5319.666667,924.6666667,21965.66667,26360.66667,19.49643276,3.38887803,,,,,,,,,,,
18050,04021,04,631,386687,0,5323.55,2463.016667,1832.016667,2860.533333,3491.533333,46.26643249,34.41343965,,,,,,,,,,,
13200,04023,04,246,47111,0,620.6423331,233.6304269,0,387.0119062,620.6423331,37.64332764,0,,,,,,,,,,,
14750,04025,04,149,212843,0,4067,1065.333333,916.3333333,3001.666667,3150.666667,26.19457422,22.53094009,,,,,,,,,,,
12350,04027,04,933,201595,0,3834.333333,922.6666667,0,2911.666667,3834.333333,24.06328784,0,,,,,,,,,,,
12800,05001,05,228,,1,,,,,,,,3894,14157.67451,5786.473936,1892.473936,8371.200578,12265.20058,40.87164124,13.3671242,12100,16950,
13150,05003,05,179,21491,0,767.9325836,281.4778147,102.4778147,486.4547689,665.4547689,36.65397467,13.34463687,,,,,,,,,,,
12200,05005,05,224,41096,0,1001.005187,394.2872474,170.2872474,606.7179395,830.7179395,39.3891313,17.01162487,,,,,,,,,,,
15950,05007,05,541,232560,0,3546,970,429,2576,3117,27.35476593,12.09813875,,,,,,,,,,,
12400,05009,05,353,37252,0,753.3090085,296.7218744,0,456.5871341,753.3090085,39.3891313,0,,,,,,,,,,,
12100,05011,05,123,,1,,,,,,,,3894,14157.67451,5786.473936,1892.473936,8371.200578,12265.20058,40.87164124,13.3671242,12100,16950,
12200,05013,05,11,,1,,,,,,,,3894,14157.67451,5786.473936,1892.473936,8371.200578,12265.20058,40.87164124,13.3671242,12100,16950,
12100,05015,05,109,27646,0,849.5016992,334.6113397,225.6113397,514.8903595,623.8903595,39.3891313,26.55807986,,,,,,,,,,,
12100,05017,05,94,,1,,,,,,,,3894,14157.67451,5786.473936,1892.473936,8371.200578,12265.20058,40.87164124,13.3671242,12100,16950,
13100,05019,05,250,22837,0,870.0795926,323.8315939,73.83159395,546.2479987,796.2479987,37.21861732,8.485613796,,,,,,,,,,,
12100,05021,05,119,,1,,,,,,,,3894,14157.67451,5786.473936,1892.473936,8371.200578,12265.20058,40.87164124,13.3671242,12100,16950,
13000,05023,05,75,25806,0,618.6212024,244.5880335,169.5880335,374.0331689,449.0331689,39.53760921,27.41387343,,,,,,,,,,,
13700,05025,05,26,,1,,,,,,,,3894,14157.67451,5786.473936,1892.473936,8371.200578,12265.20058,40.87164124,13.3671242,12100,16950,
12800,05027,05,175,24403,0,972.4900199,359.8712575,184.8712575,612.6187625,787.6187625,37.00513631,19.01009303,,,,,,,,,,,
13200,05029,05,136,21223,0,502.0799618,129.3404941,0,372.7394677,502.0799618,25.7609353,0,,,,,,,,,,,
14100,05031,05,1087,99927,0,3604.445857,1218.952608,131.9526079,2385.493249,3472.493249,33.81803074,3.660829241,,,,,,,,,,,
13550,05033,05,389,61801,0,1130.702633,393.4019018,4.40190179,737.300731,1126.300731,34.79269353,0.38930676,,,,,,,,,,,
17200,05035,05,1010,50117,0,3214.1228,1104.231517,94.23151671,2109.891283,3119.891283,34.35561071,2.931795783,,,,,,,,,,,
12100,05037,05,146,,1,,,,,,,,3894,14157.67451,5786.473936,1892.473936,8371.200578,12265.20058,40.87164124,13.3671242,12100,16950,
12100,05039,05,61,,1,,,,,,,,3894,14157.67451,5786.473936,1892.473936,8371.200578,12265.20058,40.87164124,13.3671242,12100,16950,
12100,05041,05,304,,1,,,,,,,,3894,14157.67451,5786.473936,1892.473936,8371.200578,12265.20058,40.87164124,13.3671242,12100,16950,
13000,05043,05,233,,1,,,,,,,,3894,14157.67451,5786.473936,1892.473936,8371.200578,12265.20058,40.87164124,13.3671242,12100,16950,
16950,05045,05,342,118233,0,3372.842866,1023.079051,681.0790508,2349.763816,2691.763816,30.33284061,20.19302641,,,,,,,,,,,
12850,05047,05,57,,1,,,,,,,,3894,14157.67451,5786.473936,1892.473936,8371.200578,12265.20058,40.87164124,13.3671242,12100,16950,
12100,05049,05,58,,1,,,,,,,,3894,14157.67451,5786.473936,1892.473936,8371.200578,12265.20058,40.87164124,13.3671242,12100,16950,
13400,05051,05,480,96900,0,2769.81441,1030.886626,550.8866256,1738.927784,2218.927784,37.21861732,19.88893637,,,,,,,,,,,
14950,05053,05,21,,1,,,,,,,,3894,14157.67451,5786.473936,1892.473936,8371.200578,12265.20058,40.87164124,13.3671242,12100,16950,
13100,05055,05,309,42994,0,1436.425205,485.7707175,176.7707175,950.6544877,1259.654488,33.81803074,12.3062946,,,,,,,,,,,
12100,05057,05,235,22454,0,723.6848574,345.8765978,110.8765978,377.8082596,612.8082596,47.79381443,15.32111619,,,,,,,,,,,
13100,05059,05,142,33322,0,411.75745,153.2504296,11.25042961,258.5070204,400.5070204,37.21861732,2.732295337,,,,,,,,,,,
12250,05061,05,128,,1,,,,,,,,3894,14157.67451,5786.473936,1892.473936,8371.200578,12265.20058,40.87164124,13.3671242,12100,16950,
13450,05063,05,194,36955,0,1011.130317,399.7767532,205.7767532,611.3535635,805.3535635,39.53760921,20.35116046,,,,,,,,,,,
12100,05065,05,74,,1,,,,,,,,3894,14157.67451,5786.473936,1892.473936,8371.200578,12265.20058,40.87164124,13.3671242,12100,16950,
12100,05067,05,280,,1,,,,,,,,3894,14157.67451,5786.473936,1892.473936,8371.200578,12265.20058,40.87164124,13.3671242,12100,16950,
13700,05069,05,729,74611,0,3610.35507,1212.869283,483.869283,2397.485787,3126.485787,33.59418283,13.40226303,,,,,,,,,,,
12100,05071,05,126,25789,0,661.3482516,170.3694952,44.36949517,490.9787564,616.9787564,25.7609353,6.708945712,,,,,,,,,,,
12100,05073,05,26,,1,,,,,,,,3894,14157.67451,5786.473936,1892.473936,8371.200578,12265.20058,40.87164124,13.3671242,12100,16950,
12100,05075,05,231,,1,,,,,,,,3894,14157.67451,5786.473936,1892.473936,8371.200578,12265.20058,40.87164124,13.3671242,12100,16950,
12100,05077,05,326,,1,,,,,,,,3894,14157.67451,5786.473936,1892.473936,8371.200578,12265.20058,40.87164124,13.3671242,12100,16950,
13700,05079,05,75,,1,,,,,,,,3894,14157.67451,5786.473936,1892.473936,8371.200578,12265.20058,40.87164124,13.3671242,12100,16950,
12650,05081,05,123,,1,,,,,,,,3894,14157.67451,5786.473936,1892.473936,8371.200578,12265.20058,40.87164124,13.3671242,12100,16950,
12100,05083,05,110,22120,0,484.7466587,243.1942382,133.1942382,241.5524206,351.5524206,50.16934801,27.47708226,,,,,,,,,,,
16950,05085,05,502,70051,0,1286.180482,390.1350757,0,896.0454065,1286.180482,30.33284061,0,,,,,,,,,,,
15950,05087,05,53,,1,,,,,,,,3894,14157.67451,5786.473936,1892.473936,8371.200578,12265.20058,40.87164124,13.3671242,12100,16950,
12100,05089,05,61,,1,,,,,,,,3894,14157.67451,5786.473936,1892.473936,8371.200578,12265.20058,40.87164124,13.3671242,12100,16950,
14000,05091,05,593,43588,0,1402.064897,670.100295,77.10029497,731.9646018,1324.964602,47.79381443,5.499053229,,,,,,,,,,,
12100,05093,05,704,45444,0,2426.8772,833.7684833,129.7684833,1593.108717,2297.108717,34.35561071,5.347138424,,,,,,,,,,,
12100,05095,05,141,,1,,,,,,,,3894,14157.67451,5786.473936,1892.473936,8371.200578,12265.20058,40.87164124,13.3671242,12100,16950,
12100,05097,05,20,,1,,,,,,,,3894,14157.67451,5786.473936,1892.473936,8371.200578,12265.20058,40.87164124,13.3671242,12100,16950,
12100,05099,05,86,,1,,,,,,,,3894,14157.67451,5786.473936,1892.473936,8371.200578,12265.20058,40.87164124,13.3671242,12100,16950,
12100,05101,05,26,,1,,,,,,,,3894,14157.67451,5786.473936,1892.473936,8371.200578,12265.20058,40.87164124,13.3671242,12100,16950,
12450,05103,05,310,25374,0,1054.162342,390.0942116,80.09421158,664.0681304,974.0681304,37.00513631,7.597901043,,,,,,,,,,,
16950,05105,05,9,,1,,,,,,,,3894,14157.67451,5786.473936,1892.473936,8371.200578,12265.20058,40.87164124,13.3671242,12100,16950,
12100,05107,05,443,20868,0,1614.893017,775.5610335,332.5610335,839.3319832,1282.331983,48.0255364,20.59337864,,,,,,,,,,,
12100,05109,05,32,,1,,,,,,,,3894,14157.67451,5786.473936,1892.473936,8371.200578,12265.20058,40.87164124,13.3671242,12100,16950,
12100,05111,05,529,24281,0,1000.908287,480.6915736,0,520.2167132,1000.908287,48.0255364,0,,,,,,,,,,,
12100,05113,05,109,20479,0,325.5028215,163.3026433,54.3026433,162.2001782,271.2001782,50.16934801,16.68269511,,,,,,,,,,,
13650,05115,05,352,62611,0,1585.577993,408.4597207,56.45972075,1177.118272,1529.118272,25.7609353,3.560828986,,,,,,,,,,,
12700,05117,05,33,,1,,,,,,,,3894,14157.67451,5786.473936,1892.473936,8371.200578,12265.20058,40.87164124,13.3671242,12100,16950,
16950,05119,05,4051,389001,0,14166,4471.333333,420.3333333,9694.666667,13745.66667,31.5638383,2.967198456,,,,,,,,,,,
12100,05121,05,149,,1,,,,,,,,3894,14157.67451,5786.473936,1892.473936,8371.200578,12265.20058,40.87164124,13.3671242,12100,16950,
12100,05123,05,487,27688,0,1472.007169,706.9393389,219.9393389,765.0678305,1252.067831,48.0255364,14.9414584,,,,,,,,,,,
16950,05125,05,350,112083,0,1880.643318,570.4525402,220.4525402,1310.190778,1660.190778,30.33284061,11.72218772,,,,,,,,,,,
12100,05127,05,73,,1,,,,,,,,3894,14157.67451,5786.473936,1892.473936,8371.200578,12265.20058,40.87164124,13.3671242,12100,16950,
12100,05129,05,23,,1,,,,,,,,3894,14157.67451,5786.473936,1892.473936,8371.200578,12265.20058,40.87164124,13.3671242,12100,16950,
13550,05131,05,1013,127243,0,3467.964034,1206.598098,193.5980982,2261.365936,3274.365936,34.79269353,5.582471338,,,,,,,,,,,
12150,05133,05,68,,1,,,,,,,,3894,14157.67451,5786.473936,1892.473936,8371.200578,12265.20058,40.87164124,13.3671242,12100,16950,
12100,05135,05,65,,1,,,,,,,,3894,14157.67451,5786.473936,1892.473936,8371.200578,12265.20058,40.87164124,13.3671242,12100,16950,
12100,05137,05,34,,1,,,,,,,,3894,14157.67451,5786.473936,1892.473936,8371.200578,12265.20058,40.87164124,13.3671242,12100,16950,
13050,05139,05,387,41004,0,1792.581171,663.3471058,276.3471058,1129.234065,1516.234065,37.00513631,15.41615578,,,,,,,,,,,
12100,05141,05,32,,1,,,,,,,,3894,14157.67451,5786.473936,1892.473936,8371.200578,12265.20058,40.87164124,13.3671242,12100,16950,
15950,05143,05,899,211919,0,6252,1620.333333,721.3333333,4631.666667,5530.666667,25.91703988,11.53764129,,,,,,,,,,,
13450,05145,05,541,78404,0,2042.930175,989.9484399,448.9484399,1052.981735,1593.981735,48.45728219,21.97571143,,,,,,,,,,,
12100,05147,05,245,,1,,,,,,,,3894,14157.67451,5786.473936,1892.473936,8371.200578,12265.20058,40.87164124,13.3671242,12100,16950,
12100,05149,05,110,21920,0,415.6369495,107.0719656,0,308.5649839,415.6369495,25.76093529,0,,,,,,,,,,,
25150,06001,06,10989,1554725,0,63119.33333,16782.66667,5793.666667,46336.66667,57325.66667,26.58878949,9.17890979,,,,,,,,,,,
19750,06003,06,1,,1,,,,,,,,262,2139.227163,749.5923663,487.5923663,1389.634797,1651.634797,35.04033509,22.79292142,15450,19750,
19100,06005,06,97,37005,0,468.8060901,148.0304504,51.03045041,320.7756397,417.7756397,31.57605107,10.88519358,,,,,,,,,,,
15600,06007,06,974,221006,0,6656.333333,1170.333333,196.3333333,5486,6460,17.58225249,2.949571836,,,,,,,,,,,
17650,06009,06,24,44788,0,505.3114823,159.5574117,135.5574117,345.7540706,369.7540706,31.57605107,26.82650532,,,,,,,,,,,
15450,06011,06,36,21373,0,449.2957581,139.4721595,103.4721595,309.8235986,345.8235986,31.04239402,23.02985453,,,,,,,,,,,
25150,06013,06,6652,1079460,0,26248.66667,8064.333333,1412.333333,18184.33333,24836.33333,30.72283037,5.38059076,,,,,,,,,,,
15450,06015,06,138,28202,0,904.3126948,307.6578351,169.6578351,596.6548597,734.6548597,34.02117839,18.76097019,,,,,,,,,,,
20150,06017,06,416,181095,0,3217,478.6666667,62.66666667,2738.333333,3154.333333,14.87928712,1.947984665,,,,,,,,,,,
15450,06019,06,4845,947942,0,28344,5440,595,22904,27749,19.19277448,2.099209709,,,,,,,,,,,
15450,06021,06,54,28023,0,677.0080888,210.1595184,156.1595184,466.8485704,520.8485704,31.04239401,23.06612299,,,,,,,,,,,
15450,06023,06,611,134768,0,4774.666667,860.3333333,249.3333333,3914.333333,4525.333333,18.01870986,5.222005027,,,,,,,,,,,
15450,06025,06,1071,176416,0,5471.333333,1810,739,3661.333333,4732.333333,33.08151578,13.50676252,,,,,,,,,,,
16500,06027,06,5,,1,,,,,,,,262,2139.227163,749.5923663,487.5923663,1389.634797,1651.634797,35.04033509,22.79292142,15450,19750,
15450,06029,06,2087,856363,0,19101.66667,3508.333333,1421.333333,15593.33333,17680.33333,18.36663467,7.440886485,,,,,,,,,,,
